"Country","Year","CO2_emission","Continent","Population","avgT","GDP","energy_consumption"
"Central African Republic",2000,6613520,"Africa",3759170,25.61,"916777282.7",1.446231008
"Central African Republic",2010,8712992,"Africa",4660067,26.33,"2142591376",1.211701989
"Central African Republic",2015,9511744,"Africa",4819333,26.21,"1695825708",1.431364417
"Chad",1970,1161488,"Africa",3667394,27.02,"469266736.6",0.0
"Chad",1980,2912880,"Africa",4408230,27.48,"1033002402",1.208018541
"Chad",1990,4858464,"Africa",5827069,27.62,"1738605558",1.4191221
"Chad",2000,9192976,"Africa",8259137,27.45,"1388506727",1.032112718
"Chad",2010,16971648,"Africa",11894727,28.7,"10668102735",1.557132721
"Chad",2015,21046908,"Africa",14140274,28.36,"10950392220",4.194112778
"Chile",1970,509237326,"South America",9820481,9.65,"9126309735",90.40140533
"Chile",1980,760534878,"South America",11469828,9.9,"29036709872",107.0211258
"Chile",1990,1005185393,"South America",13342868,9.83,"33113887819",155.680603
"Chile",2000,1459472892,"South America",15351799,9.56,"78249883996",310.684845
"Chile",2010,2083958001,"South America",17004162,9.71,"217105000000",374.7411804
"Chile",2015,2482915104,"South America",17870124,9.88,"242497000000",423.4603271
"China",1970,10470031284,"Asia",822534450,6.57,"92602973434",2361.698486
"China",1980,22647681248,"Asia",982372466,6.95,"1.91149E+11",4827.53418
"China",1990,43004236475,"Asia",1153704252,7.64,"3.60858E+11",7938.249512
"China",2000,74884032894,"Asia",1264099069,7.24,"1.21135E+12",11800.28418
"China",2010,135000000000,"Asia",1348191368,7.55,"6087160000000",29054.17969
"China",2015,184000000000,"Asia",1393715448,9.3,"11061600000000",35283.01953
"Colombia",1970,431749022,"South America",20905254,24.93,"7198360460",120.7887192
"Colombia",1980,806485930,"South America",26176195,25.43,"33400735644",188.5197144
"Colombia",1990,1303002462,"South America",32601393,25.22,"47844090710",251.7685547
"Colombia",2000,1910500167,"South America",39215135,25.03,"99886577331",313.6766968
